run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
HAN10_S11_R1_001	2	1.10e+00	Herpes_UL6	2.44e-05	100.0	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
HAN10_S11_R2_001	1	2.00e+00	NCLDV_ssuRiboReduc	1.00e-03	100.0	48 / 51	1	NC_021248.1|Choristoneura biennis entomopoxvirus 'L', complete genome	taxid:10288|Betaentomopoxvirus|Entomopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN10_S11_R2_001	2	2.20e+00	NCLDV_ssuRiboReduc	5.84e-04	93.8	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN11_S12_R1_001	2	6.60e-01	NCLDV_ssuRiboReduc	4.00e-03	87.5	48 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN14_S15_R2_001	1	9.10e+00	NCLDV_ssuRiboReduc	6.80e-02	87.5	48 / 51	1	NC_009127.1|Cyprinid herpesvirus 3, complete genome	taxid:180230|Cyvirus cyprinidallo3|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
HAN2_S28_R2_001	1	2.50e-01	NCLDV_ssuRiboReduc	8.68e-05	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN4_S30_R2_001	4	2.10e+00	NCLDV_ssuRiboReduc	2.25e-04	100.0	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN8_S9_R2_001	1	2.20e+00	NCLDV_ssuRiboReduc	8.02e-04	100.0	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
HAN9_S10_R1_001	2	7.00e+00	Herpes_POLcore	8.70e-01	80.0	45 / 51	1	NC_006151.1|Suid herpesvirus 1, complete genome	taxid:10345|Varicellovirus suidalpha1|Varicellovirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M11_S7_R2_001	4	1.00e+00	NCLDV_ssuRiboReduc	2.00e-03	100.0	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10
M12_S8_R2_001	3	3.50e-01	NCLDV_ssuRiboReduc	2.25e-04	100.0	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10
M15_S11_R2_001	1	9.60e+00	NCLDV_ssuRiboReduc	1.00e-03	93.3	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:	2024-06-10
M16_S12_R2_001	3	1.40e-01	Herpes_POLcore	1.00e-03	93.8	48 / 51	1	NC_000898.1|Human herpesvirus 6B, complete genome	taxid:32604|Roseolovirus humanbeta6b|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M18_S14_R2_001	1	4.40e+00	NCLDV_ssuRiboReduc	5.84e-04	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M18_S14_R2_001	2	9.20e+00	Herpes_UL5	9.76e-05	100.0	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M20_S16_R2_001	2	3.00e-01	NCLDV_ssuRiboReduc	5.84e-04	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10
M22_S18_R2_001	1	7.10e+00	NCLDV_ssuRiboReduc	5.00e-03	93.3	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10
M26_S20_R1_001	2	3.40e-01	Herpes_TER1	1.00e-02	87.5	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M27_S21_R1_001	1	2.50e+00	NCLDV_ssuRiboReduc	8.02e-04	88.2	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M29_S23_R1_001	1	9.20e-01	NCLDV_ssuRiboReduc	8.70e-01	58.8	51 / 51	1	NC_004105.1|Ectromelia virus, complete genome	taxid:12643|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M29_S23_R1_001	1	7.10e+00	NCLDV_ssuRiboReduc	7.00e-03	100.0	42 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M2_S14_R1_001	1	2.50e+00	Herpes_UL5	3.92e-07	100.0	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M30_S24_R1_001	1	4.10e-01	NCLDV_ssuRiboReduc	1.19e-04	100.0	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M30_S24_R2_001	1	9.80e-01	NCLDV_ssuRiboReduc	4.25e-04	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M31_S25_R2_001	1	1.90e+00	NCLDV_ssuRiboReduc	2.00e-03	100.0	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M32_S26_R1_001	1	2.50e+00	NCLDV_ssuRiboReduc	2.00e-03	100.0	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M32_S26_R1_001	1	6.60e+00	NCLDV_ssuRiboReduc	7.00e-03	94.1	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M32_S26_R2_001	1	5.90e+00	NCLDV_ssuRiboReduc	2.60e-02	87.5	48 / 51	1	NC_035460.1|Eptesipox virus strain Washington, complete genome	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
M6_S2_R2_001	1	2.00e+00	NCLDV_ssuRiboReduc	1.40e-02	87.5	48 / 51	1	NC_040681.1|Bufonid herpesvirus 1 strain FO1_2015, complete genome	taxid:2282206|Batrachovirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09
M7_S3_R2_001	2	3.50e-01	NCLDV_ssuRiboReduc	1.19e-04	100.0	48 / 52	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09
