run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen/sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
1009_13_S15_R1_001	1	3.80e+00	NCLDV_ssuRiboReduc	1.40e-02	93.8	48 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06
11207_10_S7_R1_001	3	4.20e-01	NCLDV_ssuRiboReduc	3.09e-04	94.1	51 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
14591_14_S19_R1_001	1	3.30e+00	NCLDV_ssuRiboReduc	3.00e-03	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
15492_12_S10_R1_001	1	4.10e-02	NCLDV_ssuRiboReduc	3.09e-04	94.1	51 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06
15492_12_S10_R1_001	1	4.80e+00	NCLDV_ssuRiboReduc	6.40e-02	87.5	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
15577_16_S25_R1_001	1	2.40e+00	NCLDV_ssuRiboReduc	1.40e-02	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
16311_10_S14_R1_001	1	4.00e+00	NCLDV_ssuRiboReduc	1.00e-02	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
19265_16_S23_R1_001	1	7.90e+00	NCLDV_ssuRiboReduc	8.02e-04	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
22447_10_S1_R1_001	1	4.50e+00	NCLDV_ssuRiboReduc	2.60e-02	88.2	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07
22447_10_S1_R1_001	1	9.30e+00	NCLDV_ssuRiboReduc	8.02e-04	93.8	48 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07
25635_10_S3_R1_001	1	1.30e+00	NCLDV_ssuRiboReduc	1.00e-02	82.4	51 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06
25635_10_S3_R1_001	3	1.70e+00	NCLDV_ssuRiboReduc	1.00e-02	88.2	51 / 51	3	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
28516_09_S2_R1_001	1	3.70e+00	NCLDV_ssuRiboReduc	1.00e-03	93.8	48 / 51	1	NC_003494.1|Infectious spleen and kidney necrosis virus, complete genome	taxid:180170|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07
28516_09_S2_R1_001	2	6.50e+00	NCLDV_ssuRiboReduc	1.80e-02	88.2	51 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07
29067_15_S24_R1_001	2	1.20e+00	NCLDV_ssuRiboReduc	2.00e-03	94.1	51 / 52	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
29067_15_S24_R1_001	1	1.80e+00	NCLDV_ssuRiboReduc	5.00e-03	88.2	51 / 51	1	NC_036582.1|Flamingopox virus FGPVKD09, complete genome	taxid:2059380|Avipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
29765_12_S5_R1_001	1	9.00e+00	NCLDV_ssuRiboReduc	1.30e-01	81.2	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
31858_13_S21_R1_001	1	1.20e+00	NCLDV_ssuRiboReduc	3.00e-03	100.0	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
5508_12_S9_R1_001	1	2.40e+00	NCLDV_ssuRiboReduc	1.90e-02	87.5	48 / 51	1	NC_040681.1|Bufonid herpesvirus 1 strain FO1_2015, complete genome	taxid:2282206|Batrachovirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06
5508_12_S9_R1_001	1	3.70e+00	NCLDV_ssuRiboReduc	2.00e-03	94.1	51 / 51	1	NC_005179.1|Yaba monkey tumor virus, complete genome	taxid:38804|Yatapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
5508_12_S9_R1_001	1	5.00e+00	NCLDV_ssuRiboReduc	5.84e-04	94.1	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
6918_11_S4_R1_001	1	7.00e-01	NCLDV_ssuRiboReduc	7.00e-03	87.5	48 / 51	1	NC_036582.1|Flamingopox virus FGPVKD09, complete genome	taxid:2059380|Avipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
6918_11_S4_R1_001	1	2.40e+00	NCLDV_ssuRiboReduc	6.40e-02	87.5	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06
